Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2019-10-07 05:43:59,false,"Washington Running","4.01","290","00:36:00","148","164","3.0","175","197","8:59","7:14","204","192","1.02","0.0","0.0","0.0","0.0","0.0","36:00","0:00","0.0","0:00","No","00:03.13","5","0.0"
Running,2019-10-05 11:37:18,false,"Washington Running","10.26","835","01:35:16","160","190","4.5","174","195","9:17","8:04","474","498","1.00","0.0","0.0","0.0","0.0","0.0","1:35:16","0:00","0.0","0:00","No","02:59.93","11","0.0"
Running,2019-10-04 19:42:19,false,"Washington Running","3.32","224","00:30:05","141","156","2.4","174","247","9:03","8:20","203","196","1.02","0.0","0.0","0.0","0.0","0.0","30:05","0:00","0.0","0:00","No","02:50.80","4","0.0"
Running,2019-10-02 05:50:22,false,"Washington Running","3.35","201","00:30:03","138","150","2.2","175","194","8:58","7:25","208","210","1.03","0.0","0.0","0.0","0.0","0.0","30:03","0:00","0.0","0:00","No","02:59.86","4","0.0"
Running,2019-09-30 18:34:41,false,"Washington Running","5.01","440","00:45:38","172","194","4.7","175","233","9:07","8:14","267","254","1.01","0.0","0.0","0.0","0.0","0.0","45:38","0:00","0.0","0:00","No","00:02.51","6","0.0"
Treadmill Running,2019-09-29 14:39:13,false,"Treadmill Running","3.50","183","00:29:38","130","168","2.0","172","197","8:28","7:34","--","--","0.98","0.0","0.0","0.0","0.0","0.0","29:38","0:00","0.0","0:00","No","00:59.70","4","0.0"
Running,2019-09-23 05:16:08,false,"Washington Running","3.30","189","00:30:06","131","154","2.0","176","202","9:07","7:55","183","166","1.00","0.0","0.0","0.0","0.0","0.0","30:06","0:00","0.0","0:00","No","02:43.14","4","0.0"
Running,2019-09-21 09:00:30,false,"Arlington County Running","6.30","405","00:56:16","147","157","3.0","177","201","8:56","6:21","63","259","1.02","0.0","0.0","0.0","0.0","0.0","56:16","0:00","0.0","0:00","No","02:53.34","7","0.0"
Running,2019-09-16 19:57:52,false,"Washington Running","4.01","275","00:37:39","146","169","3.1","176","191","9:23","8:21","216","214","0.98","0.0","0.0","0.0","0.0","0.0","37:39","0:00","0.0","0:00","No","00:04.30","5","0.0"
Running,2019-09-14 10:22:47,false,"Washington Running","9.01","724","01:26:27","164","192","5.0","177","198","9:36","8:10","203","364","0.95","0.0","0.0","0.0","0.0","0.0","1:26:27","0:00","0.0","0:00","No","00:02.84","10","0.0"
Running,2019-09-13 18:22:03,false,"Washington Running","3.21","282","00:30:26","169","195","4.2","174","189","9:29","8:26","141","131","0.96","0.0","0.0","0.0","0.0","0.0","30:26","0:00","0.0","0:00","No","01:58.58","4","0.0"
